container;item;scale;time
sphere.stl;convexstone.stl;0,076081;8,055
sphere.stl;cube.obj;0,266555;5,481
sphere.stl;dagger.stl;0,014271;11,77
sphere.stl;dodecahedron.stl;0,219673;6,815
sphere.stl;dragon.obj;0,523655;18,658
sphere.stl;frustum.stl;0,445158;9,672
sphere.stl;gem.stl;0,019789;7,395
sphere.stl;helmet.stl;0,757626;22,759
sphere.stl;oloid.stl;0,021232;7,437
sphere.stl;pig.obj;0,254514;17,351
sphere.stl;ring.obj;0,115802;9,524
sphere.stl;sphere.stl;0,998996;14,343
sphere.stl;star.obj;0,16131;8,036
sphere.stl;star.stl;0,014961;6,126
sphere.stl;stone_1.obj;0,079611;9,875
sphere.stl;stone_2.obj;0,533502;7,159
sphere.stl;stone_3.obj;0,154024;7,293
sphere.stl;stone_4.obj;0,153923;8,449
sphere.stl;stone_5.obj;0,072071;8,833
sphere.stl;stone_6.obj;0,338263;8,515
sphere.stl;stone_7.obj;0,402453;6,687
sphere.stl;tetrahedron.stl;0,576028;7,073
sphere.stl;torus.stl;0,249181;7,624
sphere.stl;tree.stl;0,042844;12,023
tetrahedron.stl;apple.stl;0,02395;0,463
tetrahedron.stl;arrow.obj;0,153733;0,139
tetrahedron.stl;banana.stl;0,232626;0,426
tetrahedron.stl;bobbin.stl;0,347861;1,139
tetrahedron.stl;convexstone.stl;0,068294;0,576
tetrahedron.stl;cube.obj;0,214554;0,287
tetrahedron.stl;dagger.stl;0,017318;1,928
tetrahedron.stl;dodecahedron.stl;0,141877;0,262
tetrahedron.stl;dragon.obj;0,487368;5,025
tetrahedron.stl;frustum.stl;0,395939;0,267
tetrahedron.stl;gem.stl;0,014675;0,155
tetrahedron.stl;helmet.stl;0,692472;10,689
tetrahedron.stl;oloid.stl;0,017369;0,34
tetrahedron.stl;pig.obj;0,234523;6,566
tetrahedron.stl;ring.obj;0,09995;0,462
tetrahedron.stl;sphere.stl;0,578972;2,915
tetrahedron.stl;star.obj;0,133102;0,299
tetrahedron.stl;star.stl;0,012953;0,149
tetrahedron.stl;stone_1.obj;0,064335;0,55
tetrahedron.stl;stone_2.obj;0,488593;0,462
tetrahedron.stl;stone_3.obj;0,136948;0,694
tetrahedron.stl;stone_4.obj;0,136313;0,397
tetrahedron.stl;stone_5.obj;0,062906;0,432
tetrahedron.stl;stone_6.obj;0,319116;0,633
tetrahedron.stl;stone_7.obj;0,283194;0,389
tetrahedron.stl;tetrahedron.stl;0,998268;0,304
tetrahedron.stl;torus.stl;0,185371;0,98
tetrahedron.stl;tree.stl;0,034729;0,682
